id,agency,updated,accessed,url,hash,whats_detected,whats_not_detected,acceptable_use_policy,prohibited_uses,access_policy,hotlist_policy
1007,Gilroy CA PD,2023-07-27T12:01:04Z,2023-07-28T00:56:20Z,https://transparency.flocksafety.com/gilroy-ca-pd,0dc6dc869640fc6f7bef97782dbb500e,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Gilroy CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1092,Grover Beach CA PD,2023-07-27T12:03:31Z,2023-07-28T00:56:22Z,https://transparency.flocksafety.com/grover-beach-ca-pd,feade526f1f86d31f5cbb800f17fb1b3,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Grover Beach CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1357,Kern County CA SO,2023-07-27T12:04:30Z,2023-07-28T00:56:24Z,https://transparency.flocksafety.com/kern-county-ca-so-,26b74fdb67e282238ff3aa0f167bc793,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Kern County CA SO  and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1720,Monrovia CA PD,2023-07-27T12:05:58Z,2023-07-28T00:56:25Z,https://transparency.flocksafety.com/monrovia-ca-pd,88dd3fc3e022d794b52755bc5c6135ce,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Monrovia CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1723,Monterey Park CA PD,2023-07-27T12:02:43Z,2023-07-28T00:56:27Z,https://transparency.flocksafety.com/monterey-park-ca-pd,6efba54c7aa2c75da116785680b703f2,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Monterey Park CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1787,Napa County CA SO,2023-07-27T12:03:58Z,2023-07-28T00:56:29Z,https://transparency.flocksafety.com/napa-county-ca-so,3b8eff3a29791d9ed48e4599858f317c,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Napa County Sheriffs Office and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2095,Port Hueneme CA PD,2023-07-27T12:01:03Z,2023-07-28T00:56:31Z,https://transparency.flocksafety.com/port-hueneme-ca-pd,210f27ec44c150ad16c1cf55578a1175,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Port Hueneme CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2164,Richmond CA PD,2023-07-27T12:09:55Z,2023-07-28T00:56:33Z,https://transparency.flocksafety.com/richmond-ca-pd,3541d6767e9997abd74bd407603df20a,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Richmond Police Department and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2257,San Joaquin County CA SO,2023-07-27T12:06:48Z,2023-07-28T00:56:35Z,https://transparency.flocksafety.com/san-joaquin-county-ca-so,2c96948742a3389a5fd1a78ae7be8ee1,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by San Joaquin County CA SO and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2267,San Mateo County CA SO,2023-07-27T12:04:07Z,2023-07-28T00:56:37Z,https://transparency.flocksafety.com/san-mateo-county-ca-so,24434e6ccd0efce2a79c44f5e94711d7,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by San Mateo County CA SO and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2590,Upland CA PD,2023-07-27T12:02:25Z,2023-07-28T00:56:39Z,https://transparency.flocksafety.com/upland-ca-pd-,06b1d2484a952dc6bcd7a6e71c84d2f1,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Upland CA PD  and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2725,Westminster CA PD,2023-07-27T12:05:41Z,2023-07-28T00:56:40Z,https://transparency.flocksafety.com/westminster-ca-pd,6c6bb1f2995d4dcaec7da751cd3dffa7,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Westminster CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
16,Akron OH PD,2023-07-27T12:04:40Z,2023-07-28T00:56:42Z,https://transparency.flocksafety.com/akron-oh-pd,f5c7296b8afd1ff85293397ae57f45d1,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Akron OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
55,Amherst OH PD,2023-07-27T12:04:55Z,2023-07-28T00:56:44Z,https://transparency.flocksafety.com/amherst-oh-pd,2651f52e4b70fa79450fa7e1ed7886a9,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Amherst OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
190,Bellefontaine OH PD,2023-07-27T12:04:31Z,2023-07-28T00:56:46Z,https://transparency.flocksafety.com/bellefontaine-oh-pd,357cfe6ca98b83c3e82d722860d17e2e,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Bellefontaine OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
825,Evendale OH PD,2023-07-27T12:03:37Z,2023-07-28T00:56:48Z,https://transparency.flocksafety.com/evendale-oh-pd,431c17aa7cd22192a3c6c52d4eb86c1b,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Evendale OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
839,Fairfield OH PD,2023-07-27T12:07:42Z,2023-07-28T00:56:50Z,https://transparency.flocksafety.com/fairfield-oh-pd,e3d5d26ac78469d0989a0d4e7edc9103,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Fairfield OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
911,Forest Park OH PD,2023-07-27T12:05:25Z,2023-07-28T00:56:52Z,https://transparency.flocksafety.com/forest-park-oh-pd,96a29461c44d5eb092fe1f2033b28546,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Forest Park OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
994,Genoa Township OH PD,2023-07-27T12:02:18Z,2023-07-28T00:56:54Z,https://transparency.flocksafety.com/genoa-township-oh-pd-,cfd709672cd51695e77fdd85c4265c87,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Genoa Township OH PD  and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1116,Hamilton Township OH PD,2023-07-27T12:15:59Z,2023-07-28T00:56:56Z,https://transparency.flocksafety.com/hamilton-township-oh-pd,b4c455f77c8d4e31c50cd0f9d7c3dead,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Hamilton Township OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1193,Hilliard OH PD,2023-07-27T12:07:11Z,2023-07-28T00:56:58Z,https://transparency.flocksafety.com/hilliard-oh-pd,d77f806d76cc47817a35427f0e1236a5,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Hilliard OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1207,Holland OH PD,2023-07-27T12:05:40Z,2023-07-28T00:56:59Z,https://transparency.flocksafety.com/holland-oh-pd,3e646b898e5e6fecf218b1fa9b994f63,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Holland OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1232,Hubbard OH PD,2023-07-27T12:04:21Z,2023-07-28T00:57:01Z,https://transparency.flocksafety.com/hubbard-oh-pd,6a4441e04496e2a75d819a9bbb9094df,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Hubbard OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1290,Jackson Township OH PD (Mahoning County),2023-07-27T12:09:51Z,2023-07-28T00:57:03Z,https://transparency.flocksafety.com/jackson-township-oh-pd-mahoning-county,c09a0a3dd0b00354a61107c46ef68e50,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Jackson Township OH PD (Mahoning County) and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1511,Lorain OH PD,2023-07-27T12:07:18Z,2023-07-28T00:57:05Z,https://transparency.flocksafety.com/lorain-oh-pd,f28642dbd3b49fcf0da1edf0fe269fbc,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Lorain OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1586,Marion OH PD,2023-07-27T12:06:26Z,2023-07-28T00:57:07Z,https://transparency.flocksafety.com/marion-oh-pd,229f2bbd9c91089eec2a2b28724825c8,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Marion OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1644,Mentor on the Lake OH PD,2023-07-27T12:05:16Z,2023-07-28T00:57:09Z,https://transparency.flocksafety.com/mentor-on-the-lake-oh-pd,c1807d35d1ffe68d6b78536b6c0e6bae,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Mentor on the Lake OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1838,Niles OH PD,2023-07-27T12:04:32Z,2023-07-28T00:57:11Z,https://transparency.flocksafety.com/niles-oh-pd,53a487316b213691b1a40e3cd3d5163e,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Niles OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1900,Oberlin OH PD,2023-07-27T12:06:38Z,2023-07-28T00:57:12Z,https://transparency.flocksafety.com/oberlin-oh-pd,c01aaa553c97d3ca5af235f445ecbf69,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Oberlin OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1939,Olmsted Falls OH PD,2023-07-27T12:08:04Z,2023-07-28T00:57:14Z,https://transparency.flocksafety.com/olmsted-falls-oh-pd,ecbc9b69acff2baef33ce56b03537db4,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Olmsted Falls OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2094,Port Clinton OH PD,2023-07-27T12:08:01Z,2023-07-28T00:57:16Z,https://transparency.flocksafety.com/port-clinton-oh-pd,ef196c9a721ed5eadaa3fd0f5b4c5951,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Port Clinton OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2162,Richland County OH SO,2023-07-27T12:04:15Z,2023-07-28T00:57:18Z,https://transparency.flocksafety.com/richland-county-oh-so,f73bb1ff9d9fc8b559dd78f5290168eb,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Richland County OH SO and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2636,Wadsworth OH PD,2023-07-27T12:04:42Z,2023-07-28T00:57:20Z,https://transparency.flocksafety.com/wadsworth-oh-pd,7c42264eb638b03d095c34532d810949,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Wadsworth OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2709,West Milton OH PD,2023-07-27T12:06:18Z,2023-07-28T00:57:22Z,https://transparency.flocksafety.com/west-milton-oh-pd,495c399838810557afedd043c6e0ecef,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by West Milton OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
2720,Westerville OH PD,2023-07-27T12:05:42Z,2023-07-28T00:57:24Z,https://transparency.flocksafety.com/westerville-oh-pd,586fcfeb9d7213ab619b80cebeba2871,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Westerville OH PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
881,Flock Safety - Sales,2023-07-27T12:01:59Z,2023-07-28T00:57:25Z,https://transparency.flocksafety.com/flock-safety-sales,709b2b82d03d68475175fa8fbe06e46c,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Flock Safety - Sales and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,NA
885,Flock Safety LE Training,2023-07-27T12:07:50Z,2023-07-28T00:57:27Z,https://transparency.flocksafety.com/flock-safety-le-training,ba34ef8d614e0ee7d7bd56f50128f998,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Flock Safety LE Training and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
891,Florida LE Flock Training,2023-07-27T12:08:08Z,2023-07-28T00:57:29Z,https://transparency.flocksafety.com/florida-le-flock-training,97d65fbc2030e45ab72c6fdbffede02f,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Florida LE Flock Training and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1441,Largo FL PD,2023-07-27T12:06:36Z,2023-07-28T00:57:31Z,https://transparency.flocksafety.com/largo-fl-pd,e2a364b85c4dc0fabae51496724b5640,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Largo FL PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1760,Mount Dora FL PD,2023-07-27T12:05:28Z,2023-07-28T00:57:33Z,https://transparency.flocksafety.com/mount-dora-fl-pd,a916fa79082cacef0efa2cc945033a82,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Mount Dora FL PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1924,Ohio LE Flock Training,2023-07-27T12:01:50Z,2023-07-28T00:57:35Z,https://transparency.flocksafety.com/ohio-le-flock-training,77ee9fda814ad1f7c96a9968175a153b,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Ohio LE Flock Training and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
183,Beecher IL PD,2023-07-27T12:03:16Z,2023-07-28T00:57:37Z,https://transparency.flocksafety.com/beecher-il-pd,8646e04f61d2aec5399884b94c7accf7,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Beecher IL PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
1112,Hamilton County OH SO,2023-07-27T12:06:20Z,2023-07-28T00:57:38Z,https://transparency.flocksafety.com/hamilton-county-oh-so,9a0a992f261a129d824e5840a5503ef3,"License Plates, Vehicles","Facial recognition, People, Gender, Race, Not a traffic enforcement tool and does not issue citations",Data is used for law enforcement purposes only. Data is owned by Hamilton County OH SO and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is subject to supervisory audit.,Hotlist hits are required to be human verified prior to action.
